competition,match_id,date,season,team,opponent,win,chase,close_game,run_diff,runs,legal_balls_faced,runs_allowed,legal_balls_bowled,wickets_lost,wickets_taken,dot_balls_bat,dot_balls_bowl,boundaries,pp_runs,pp_legal_balls,death_runs,death_legal_balls,fielding_dismissals,run_rate,runs_per_ball,dot_ball_rate_bat,dot_ball_rate_bowl,bowler_wkts_per_match,powerplay_economy,death_economy,runs_allowed_per_legal_ball,boundary_rate_per_ball,death_run_rate,powerplay_run_rate,fielding_dismissals_per_match,n_matches,EDGE
PSL,1075986,2017-02-09,2016/17,Islamabad United,Peshawar Zalmi,1,1,0,-15,175,106,190,120,3,9,34,40,25,43,36,36,16,10,9.90566037735849,1.650943396226415,0.32075471698113206,0.3333333333333333,9,7.166666666666666,13.5,1.5833333333333333,0.2358490566037736,13.5,7.166666666666666,10,9,27.34375
PSL,1075986,2017-02-09,2016/17,Peshawar Zalmi,Islamabad United,0,0,0,15,190,120,175,106,9,3,40,34,23,52,36,41,30,10,9.5,1.5833333333333333,0.3333333333333333,0.32075471698113206,3,8.666666666666666,8.2,1.650943396226415,0.19166666666666668,8.2,8.666666666666666,10,10,83.59375
PSL,1075987,2017-02-10,2016/17,Lahore Qalandars,Quetta Gladiators,0,1,1,-8,128,112,136,120,10,9,44,41,15,57,36,24,22,10,6.857142857142857,1.1428571428571428,0.39285714285714285,0.3416666666666667,9,9.5,6.545454545454545,1.1333333333333333,0.13392857142857142,6.545454545454545,9.5,10,8,57.03125
PSL,1075987,2017-02-10,2016/17,Quetta Gladiators,Lahore Qalandars,1,0,1,8,136,120,128,112,9,10,41,44,12,26,36,47,30,10,6.8,1.1333333333333333,0.3416666666666667,0.39285714285714285,10,4.333333333333333,9.4,1.1428571428571428,0.1,9.4,4.333333333333333,10,9,49.21875
PSL,1075988,2017-02-10,2016/17,Karachi Kings,Peshawar Zalmi,0,0,0,-1,118,120,119,111,7,3,50,54,11,28,36,48,30,8,5.8999999999999995,0.9833333333333333,0.4166666666666667,0.4864864864864865,3,4.666666666666667,9.600000000000001,1.072072072072072,0.09166666666666666,9.600000000000001,4.666666666666667,8,10,39.84375
PSL,1075988,2017-02-10,2016/17,Peshawar Zalmi,Karachi Kings,1,1,0,1,119,111,118,120,3,7,54,50,15,41,36,35,21,8,6.432432432432432,1.072072072072072,0.4864864864864865,0.4166666666666667,7,6.833333333333333,10.0,0.9833333333333333,0.13513513513513514,10.0,6.833333333333333,8,10,83.59375
PSL,1075989,2017-02-11,2016/17,Islamabad United,Lahore Qalandars,0,0,0,-2,158,120,160,110,7,4,41,41,18,48,36,56,30,9,7.9,1.3166666666666667,0.3416666666666667,0.37272727272727274,4,8.0,11.2,1.4545454545454546,0.15,11.2,8.0,9,9,27.34375
PSL,1075989,2017-02-11,2016/17,Lahore Qalandars,Islamabad United,1,1,0,2,160,110,158,120,4,7,41,41,22,50,36,41,20,9,8.727272727272727,1.4545454545454546,0.37272727272727274,0.3416666666666667,7,8.333333333333332,12.299999999999999,1.3166666666666667,0.2,12.299999999999999,8.333333333333332,9,8,57.03125
PSL,1075990,2017-02-11,2016/17,Karachi Kings,Quetta Gladiators,0,0,0,-1,159,120,160,115,8,3,37,38,19,37,36,54,30,11,7.949999999999999,1.325,0.30833333333333335,0.33043478260869563,3,6.166666666666666,10.8,1.391304347826087,0.15833333333333333,10.8,6.166666666666666,11,10,39.84375
PSL,1075990,2017-02-11,2016/17,Quetta Gladiators,Karachi Kings,1,1,0,1,160,115,159,120,3,8,38,37,19,39,36,42,25,11,8.347826086956522,1.391304347826087,0.33043478260869563,0.30833333333333335,8,6.5,10.08,1.325,0.16521739130434782,10.08,6.5,11,9,49.21875
PSL,1075991,2017-02-12,2016/17,Lahore Qalandars,Peshawar Zalmi,0,0,1,-1,59,62,60,102,10,7,40,68,9,47,36,0,0,14,5.709677419354839,0.9516129032258065,0.6451612903225806,0.6666666666666666,7,7.833333333333334,,0.5882352941176471,0.14516129032258066,,7.833333333333334,14,8,57.03125
PSL,1075991,2017-02-12,2016/17,Peshawar Zalmi,Lahore Qalandars,1,1,1,1,60,102,59,62,7,10,68,40,5,20,36,7,12,14,3.5294117647058822,0.5882352941176471,0.6666666666666666,0.6451612903225806,10,3.3333333333333335,3.5,0.9516129032258065,0.049019607843137254,3.5,3.3333333333333335,14,10,83.59375
PSL,1075992,2017-02-15,2016/17,Islamabad United,Quetta Gladiators,1,1,0,1,149,115,148,120,5,6,46,35,21,40,36,39,25,7,7.773913043478261,1.2956521739130435,0.4,0.2916666666666667,6,6.666666666666667,9.36,1.2333333333333334,0.1826086956521739,9.36,6.666666666666667,7,9,27.34375
PSL,1075992,2017-02-15,2016/17,Quetta Gladiators,Islamabad United,0,0,0,-1,148,120,149,115,6,5,35,46,15,44,36,46,30,7,7.4,1.2333333333333334,0.2916666666666667,0.4,5,7.333333333333334,9.200000000000001,1.2956521739130435,0.125,9.200000000000001,7.333333333333334,7,9,49.21875
PSL,1075993,2017-02-16,2016/17,Karachi Kings,Lahore Qalandars,0,1,1,-7,172,120,179,120,8,8,36,34,19,45,36,48,30,11,8.6,1.4333333333333333,0.3,0.2833333333333333,8,7.5,9.600000000000001,1.4916666666666667,0.15833333333333333,9.600000000000001,7.5,11,10,39.84375
PSL,1075993,2017-02-16,2016/17,Lahore Qalandars,Karachi Kings,1,0,1,7,179,120,172,120,8,8,34,36,21,62,36,39,30,11,8.95,1.4916666666666667,0.2833333333333333,0.3,8,10.333333333333334,7.800000000000001,1.4333333333333333,0.175,7.800000000000001,10.333333333333334,11,8,57.03125
PSL,1075995,2017-02-17,2016/17,Islamabad United,Karachi Kings,0,0,1,15,90,78,75,58,8,4,36,20,10,32,36,0,0,12,6.9230769230769225,1.1538461538461537,0.46153846153846156,0.3448275862068966,4,5.333333333333333,,1.293103448275862,0.1282051282051282,,5.333333333333333,12,9,27.34375
PSL,1075995,2017-02-17,2016/17,Karachi Kings,Islamabad United,1,1,1,-15,75,58,90,78,4,8,20,36,7,50,36,0,0,12,7.758620689655173,1.293103448275862,0.3448275862068966,0.46153846153846156,8,8.333333333333332,,1.1538461538461537,0.1206896551724138,,8.333333333333332,12,10,39.84375
PSL,1075996,2017-02-18,2016/17,Lahore Qalandars,Quetta Gladiators,0,0,0,-2,200,120,202,113,3,5,34,26,27,75,36,65,30,6,10.0,1.6666666666666667,0.2833333333333333,0.23008849557522124,5,12.5,13.0,1.7876106194690264,0.225,13.0,12.5,6,8,57.03125
PSL,1075996,2017-02-18,2016/17,Quetta Gladiators,Lahore Qalandars,1,1,0,2,202,113,200,120,5,3,26,34,26,51,36,78,23,6,10.725663716814159,1.7876106194690264,0.23008849557522124,0.2833333333333333,3,8.5,20.347826086956523,1.6666666666666667,0.23008849557522124,20.347826086956523,8.5,6,9,49.21875
PSL,1075997,2017-02-18,2016/17,Islamabad United,Peshawar Zalmi,1,1,0,1,137,120,136,120,5,9,51,57,16,23,36,49,30,10,6.85,1.1416666666666666,0.425,0.475,9,3.833333333333333,9.8,1.1333333333333333,0.13333333333333333,9.8,3.833333333333333,10,9,27.34375
PSL,1075997,2017-02-18,2016/17,Peshawar Zalmi,Islamabad United,0,0,0,-1,136,120,137,120,9,5,57,51,18,38,36,48,30,10,6.8,1.1333333333333333,0.475,0.425,5,6.333333333333334,9.600000000000001,1.1416666666666666,0.15,9.600000000000001,6.333333333333334,10,10,83.59375
PSL,1075998,2017-02-19,2016/17,Karachi Kings,Peshawar Zalmi,1,0,1,9,174,120,165,119,4,10,34,49,22,47,36,65,30,13,8.7,1.45,0.2833333333333333,0.4117647058823529,10,7.833333333333334,13.0,1.3865546218487395,0.18333333333333332,13.0,7.833333333333334,13,10,39.84375
